investigation_type,accident_number,event_date,location,country,injury_severity,aircraft_damage,aircraft_category,make,model,amateur_built,number_of_engines,engine_type,far_description,purpose_of_flight,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,Year,total_passengers,fatal_serious_injuries,fatal_serious_fraction,make_model
Accident,CEN14CA104,2014-01-05,"Cotulla, TX",United States,Non-Fatal,Substantial,Airplane,Cessna,172P,No,1.0,Reciprocating,091,Instructional,0.0,0.0,0.0,2.0,VMC,2014,2.0,0.0,0.0,Cessna 172P
Incident,ERA14WA090,2014-01-05,"Margarita, Venezuela",Venezuela,Non-Fatal,Minor,Airplane,Piper,PA-32RT-300T,No,,,NUSN,Personal,0.0,0.0,0.0,1.0,,2014,1.0,0.0,0.0,Piper PA-32RT-300T
Accident,CEN14FA102,2014-01-06,"Boyne City, MI",United States,Fatal,Substantial,Airplane,Mooney,M20R,No,1.0,Reciprocating,091,Personal,2.0,0.0,0.0,0.0,VMC,2014,2.0,2.0,1.0,Mooney M20R
Accident,CEN14CA106,2014-01-08,"Pagosa Springs, CO",United States,Non-Fatal,Substantial,Airplane,Cessna,P210N,No,1.0,Reciprocating,091,Personal,0.0,2.0,0.0,1.0,VMC,2014,3.0,2.0,0.6666666666666666,Cessna P210N
Accident,WPR14FA091,2014-01-09,"Pocatello, ID",United States,Non-Fatal,Substantial,Airplane,Cirrus,SR22,No,1.0,Reciprocating,091,Personal,0.0,2.0,0.0,0.0,VMC,2014,2.0,2.0,1.0,Cirrus SR22
Accident,DCA14CA035,2014-01-09,"Nashville, TN",United States,Non-Fatal,,Airplane,Boeing,737 7H4,No,2.0,Turbo Fan,121,,0.0,0.0,1.0,144.0,VMC,2014,145.0,0.0,0.0,Boeing 737 7H4
Accident,WPR14CA093,2014-01-10,"Lake Havasu, AZ",United States,Non-Fatal,Substantial,Airplane,Maule,M 7-235,No,1.0,Reciprocating,091,Flight Test,0.0,2.0,0.0,0.0,VMC,2014,2.0,2.0,1.0,Maule M 7-235
Accident,DCA14CA036,2014-01-10,"Atlanta, GA",United States,Non-Fatal,,Airplane,Boeing,757 232,No,2.0,Unknown,121,,0.0,0.0,1.0,140.0,IMC,2014,141.0,0.0,0.0,Boeing 757 232
Accident,CEN14FA110,2014-01-11,"Waterford, MI",United States,Fatal,Destroyed,Airplane,Cessna,310R,No,2.0,Reciprocating,091,Positioning,1.0,0.0,0.0,0.0,IMC,2014,1.0,1.0,1.0,Cessna 310R
Incident,CEN14IA121,2014-01-12,"Wheeling, IL",United States,,,Airplane,Cessna,680,No,2.0,Turbo Fan,091,Flight Test,0.0,0.0,0.0,0.0,VMC,2014,0.0,0.0,,Cessna 680
Accident,CEN14WA216,2014-01-12,"Trier-Fohren Airport, Germany",Germany,Fatal,Destroyed,Airplane,Cessna,501,No,2.0,,NUSN,,4.0,0.0,0.0,0.0,,2014,4.0,4.0,1.0,Cessna 501
Incident,DCA14IA037,2014-01-13,"Branson, MO",United States,Non-Fatal,,Airplane,Boeing,737 7H4,No,2.0,Turbo Fan,121,,0.0,0.0,0.0,131.0,VMC,2014,131.0,0.0,0.0,Boeing 737 7H4
Accident,ERA14FA093,2014-01-15,"Holland, NJ",United States,Fatal,Substantial,Airplane,American Champion Aircraft,8KCAB,No,1.0,Reciprocating,091,Personal,1.0,0.0,0.0,0.0,IMC,2014,1.0,1.0,1.0,American Champion Aircraft 8KCAB
Accident,CEN14CA114,2014-01-15,"Coldwater, MI",United States,Non-Fatal,Substantial,Airplane,Cessna,340,No,2.0,Reciprocating,091,Personal,0.0,0.0,0.0,1.0,VMC,2014,1.0,0.0,0.0,Cessna 340
Accident,ERA14CA095,2014-01-16,"Milledgeville, GA",United States,Non-Fatal,Substantial,Airplane,Diamond Aircraft Ind Inc,DA 20 C1,No,,Reciprocating,091,Instructional,0.0,0.0,0.0,1.0,VMC,2014,1.0,0.0,0.0,Diamond Aircraft Ind Inc DA 20 C1
